"Subregion","Season","Temperature_Celcius","Analyte","Unit"
"Central Delta","Fall",26.1,"temperature","Deg C"
"Central Delta","Fall",22.6,"temperature","Deg C"
"South Delta","Fall",26,"temperature","Deg C"
"North Delta","Fall",19.8,"temperature","Deg C"
"Central Delta","Fall",21.7,"temperature","Deg C"
"Central Delta","Fall",21.3,"temperature","Deg C"
"Central Delta","Fall",15.6,"temperature","Deg C"
"South Delta","Fall",26.4,"temperature","Deg C"
"Central Delta","Fall",21.3,"temperature","Deg C"
"Central Delta","Fall",19.9,"temperature","Deg C"
"Confluence","Fall",16.73,"temperature","Deg C"
"Sacramento River","Fall",14.2,"temperature","Deg C"
"North Delta","Fall",15.4,"temperature","Deg C"
"Central Delta","Fall",12,"temperature","Deg C"
"Sacramento River","Fall",13.68,"temperature","Deg C"
"Sacramento River","Fall",13.2,"temperature","Deg C"
"Central Delta","Fall",13.9,"temperature","Deg C"
"South Delta","Fall",11.3,"temperature","Deg C"
"Central Delta","Fall",11.8,"temperature","Deg C"
"North Delta","Fall",13.4,"temperature","Deg C"
"North Delta","Fall",12.7,"temperature","Deg C"
"Central Delta","Fall",15.6,"temperature","Deg C"
"Sacramento River","Fall",12.5,"temperature","Deg C"
"Sacramento River","Winter",5.7,"temperature","Deg C"
"North Delta","Winter",6.9,"temperature","Deg C"
"North Delta","Winter",5.6,"temperature","Deg C"
"Central Delta","Winter",7.5,"temperature","Deg C"
"Central Delta","Winter",9.7,"temperature","Deg C"
"Central Delta","Winter",7.5,"temperature","Deg C"
"South Delta","Winter",17.6,"temperature","Deg C"
"North Delta","Winter",9.8,"temperature","Deg C"
"North Delta","Winter",8.3,"temperature","Deg C"
"Sacramento River","Winter",8.6,"temperature","Deg C"
"Central Delta","Winter",19.9,"temperature","Deg C"
"Central Delta","Winter",14,"temperature","Deg C"
"Central Delta","Winter",20.1,"temperature","Deg C"
"Central Delta","Winter",13.1,"temperature","Deg C"
"Central Delta","Winter",12.9,"temperature","Deg C"
"Central Delta","Winter",13.4,"temperature","Deg C"
"South Delta","Winter",18.7,"temperature","Deg C"
"Sacramento River","Winter",10.47,"temperature","Deg C"
"Central Delta","Winter",8.42,"temperature","Deg C"
"Sacramento River","Winter",9.77,"temperature","Deg C"
"North Delta","Winter",14.5,"temperature","Deg C"
"Sacramento River","Winter",14.5,"temperature","Deg C"
"North Delta","Winter",12.3,"temperature","Deg C"
"North Delta","Winter",13,"temperature","Deg C"
"North Delta","Winter",13.5,"temperature","Deg C"
"Central Delta","Winter",16.8,"temperature","Deg C"
"Central Delta","Winter",15.9,"temperature","Deg C"
"Central Delta","Winter",16.7,"temperature","Deg C"
"Central Delta","Winter",12.2,"temperature","Deg C"
"Central Delta","Winter",13.7,"temperature","Deg C"
"South Delta","Winter",11.4,"temperature","Deg C"
"Central Delta","Winter",15.6,"temperature","Deg C"
"Central Delta","Winter",18.2,"temperature","Deg C"
"Central Delta","Winter",12.8,"temperature","Deg C"
"Central Delta","Winter",12.5,"temperature","Deg C"
"Confluence","Winter",14.96,"temperature","Deg C"
"Sacramento River","Winter",13.7,"temperature","Deg C"
"Sacramento River","Winter",13.9,"temperature","Deg C"
"South Delta","Winter",15.3,"temperature","Deg C"
"Central Delta","Spring",15.6,"temperature","Deg C"
"Central Delta","Spring",15.2,"temperature","Deg C"
"South Delta","Spring",13.6,"temperature","Deg C"
"Central Delta","Spring",14.1,"temperature","Deg C"
"Central Delta","Spring",15,"temperature","Deg C"
"Central Delta","Spring",13,"temperature","Deg C"
"Central Delta","Spring",14.8,"temperature","Deg C"
"Central Delta","Spring",17,"temperature","Deg C"
"Central Delta","Spring",23,"temperature","Deg C"
"Central Delta","Spring",17.2,"temperature","Deg C"
"South Delta","Spring",22.23,"temperature","Deg C"
"Confluence","Spring",18.7,"temperature","Deg C"
"Central Delta","Spring",18.7,"temperature","Deg C"
"Central Delta","Spring",18.1,"temperature","Deg C"
"Central Delta","Spring",14.5,"temperature","Deg C"
"Central Delta","Spring",20.1,"temperature","Deg C"
"North Delta","Spring",12,"temperature","Deg C"
"Sacramento River","Spring",10.4,"temperature","Deg C"
"North Delta","Spring",13.6,"temperature","Deg C"
"South Delta","Spring",16.1,"temperature","Deg C"
"Sacramento River","Spring",12.7,"temperature","Deg C"
"Sacramento River","Spring",21.2,"temperature","Deg C"
"Central Delta","Spring",15.4,"temperature","Deg C"
"Central Delta","Spring",21,"temperature","Deg C"
"Central Delta","Spring",21.3,"temperature","Deg C"
"Central Delta","Spring",17.3,"temperature","Deg C"
"Central Delta","Spring",20.1,"temperature","Deg C"
"South Delta","Spring",18.5,"temperature","Deg C"
"North Delta","Spring",16.1,"temperature","Deg C"
"North Delta","Spring",20.2,"temperature","Deg C"
"Central Delta","Spring",15.9,"temperature","Deg C"
"Confluence","Spring",17.6,"temperature","Deg C"
"North Delta","Spring",17.2,"temperature","Deg C"
"Central Delta","Spring",20.1,"temperature","Deg C"
"North Delta","Spring",19.6,"temperature","Deg C"
"Central Delta","Spring",18.504,"temperature","Deg C"
"Sacramento River","Spring",21.151,"temperature","Deg C"
"Sacramento River","Spring",20.3,"temperature","Deg C"
"Sacramento River","Spring",18.5,"temperature","Deg C"
"North Delta","Spring",20.1,"temperature","Deg C"
"North Delta","Spring",17.6,"temperature","Deg C"
"Central Delta","Spring",19.7,"temperature","Deg C"
"Central Delta","Spring",17.5,"temperature","Deg C"
"Central Delta","Spring",19.9,"temperature","Deg C"
"Central Delta","Spring",22.5,"temperature","Deg C"
"Central Delta","Spring",21.4,"temperature","Deg C"
"Confluence","Spring",16.4,"temperature","Deg C"
"Central Delta","Spring",18.5,"temperature","Deg C"
"Central Delta","Spring",21.9,"temperature","Deg C"
"South Delta","Spring",18.9,"temperature","Deg C"
"Central Delta","Spring",20.7,"temperature","Deg C"
"Central Delta","Spring",25.3,"temperature","Deg C"
"Central Delta","Spring",16.9,"temperature","Deg C"
"Confluence","Spring",16.3,"temperature","Deg C"
"North Delta","Summer",25.1,"temperature","Deg C"
"Central Delta","Summer",17.9,"temperature","Deg C"
"Central Delta","Summer",17.6,"temperature","Deg C"
"Central Delta","Summer",24.8,"temperature","Deg C"
"Central Delta","Summer",23.2,"temperature","Deg C"
"Confluence","Summer",17.1,"temperature","Deg C"
"Central Delta","Summer",22.3,"temperature","Deg C"
"Central Delta","Summer",23.9,"temperature","Deg C"
"South Delta","Summer",20,"temperature","Deg C"
"Sacramento River","Summer",19.5,"temperature","Deg C"
"North Delta","Summer",20.7,"temperature","Deg C"
"Central Delta","Summer",19.1,"temperature","Deg C"
"North Delta","Summer",17.9,"temperature","Deg C"
"North Delta","Summer",21.9,"temperature","Deg C"
"Sacramento River","Summer",21.63,"temperature","Deg C"
"Confluence","Summer",25.85,"temperature","Deg C"
"North Delta","Summer",24,"temperature","Deg C"
"Central Delta","Summer",25.37,"temperature","Deg C"
"Central Delta","Summer",22.59,"temperature","Deg C"
"Central Delta","Summer",21.6,"temperature","Deg C"
"Central Delta","Summer",25.81,"temperature","Deg C"
"Central Delta","Summer",21.61,"temperature","Deg C"
"Central Delta","Summer",29.94,"temperature","Deg C"
"South Delta","Summer",25.58,"temperature","Deg C"
"Sacramento River","Summer",21.3,"temperature","Deg C"
"Central Delta","Summer",21.83,"temperature","Deg C"
"North Delta","Summer",23.8,"temperature","Deg C"
"Confluence","Summer",22.86,"temperature","Deg C"
"North Delta","Summer",22.1,"temperature","Deg C"
"Central Delta","Summer",23.1,"temperature","Deg C"
"Central Delta","Summer",26.3,"temperature","Deg C"
"Central Delta","Summer",25.1,"temperature","Deg C"
"Confluence","Summer",18.8,"temperature","Deg C"
"Central Delta","Summer",21.1,"temperature","Deg C"
"Central Delta","Summer",24.8,"temperature","Deg C"
"Sacramento River","Summer",20.2,"temperature","Deg C"
"North Delta","Summer",23.8,"temperature","Deg C"
"Central Delta","Summer",22.9,"temperature","Deg C"
"Central Delta","Summer",22.4,"temperature","Deg C"
"Central Delta","Summer",21.7,"temperature","Deg C"
"South Delta","Summer",22.2,"temperature","Deg C"
"North Delta","Summer",21.3,"temperature","Deg C"
"North Delta","Summer",18.3,"temperature","Deg C"
"Central Delta","Summer",23.96,"temperature","Deg C"
"North Delta","Fall",18.9,"temperature","Deg C"
"Sacramento River","Fall",20.8,"temperature","Deg C"
"Central Delta","Fall",20.6,"temperature","Deg C"
"Central Delta","Fall",21.4,"temperature","Deg C"
"Central Delta","Fall",17.8,"temperature","Deg C"
"South Delta","Fall",25.4,"temperature","Deg C"
"Central Delta","Fall",25.6,"temperature","Deg C"
"Central Delta","Fall",22.3,"temperature","Deg C"
"Confluence","Fall",21.4,"temperature","Deg C"
"Central Delta","Fall",22.2,"temperature","Deg C"
"Confluence","Fall",16.07,"temperature","Deg C"
"Sacramento River","Fall",15.6,"temperature","Deg C"
"Central Delta","Fall",14,"temperature","Deg C"
"South Delta","Fall",16.9,"temperature","Deg C"
"Central Delta","Fall",17.8,"temperature","Deg C"
"Central Delta","Fall",16.1,"temperature","Deg C"
"Sacramento River","Fall",16.1,"temperature","Deg C"
"Sacramento River","Fall",10.6,"temperature","Deg C"
"Central Delta","Fall",12.8,"temperature","Deg C"
"Central Delta","Fall",12.4,"temperature","Deg C"
"Central Delta","Fall",12.4,"temperature","Deg C"
"South Delta","Fall",9.8,"temperature","Deg C"
"North Delta","Fall",13.8,"temperature","Deg C"
"North Delta","Fall",9.9,"temperature","Deg C"
"Central Delta","Fall",14.6,"temperature","Deg C"
"Sacramento River","Winter",12.6,"temperature","Deg C"
"North Delta","Winter",13.2,"temperature","Deg C"
"Central Delta","Winter",15.2,"temperature","Deg C"
"Central Delta","Winter",18.8,"temperature","Deg C"
"South Delta","Winter",13.7,"temperature","Deg C"
"Central Delta","Winter",23.3,"temperature","Deg C"
"Central Delta","Winter",17.4,"temperature","Deg C"
"Sacramento River","Winter",13,"temperature","Deg C"
"Central Delta","Winter",12.8,"temperature","Deg C"
"Central Delta","Winter",15.2,"temperature","Deg C"
"Sacramento River","Winter",12.9,"temperature","Deg C"
"Central Delta","Winter",13.7,"temperature","Deg C"
"Central Delta","Winter",12.6,"temperature","Deg C"
"Central Delta","Winter",11.2,"temperature","Deg C"
"South Delta","Winter",10.7,"temperature","Deg C"
"Central Delta","Winter",12.4,"temperature","Deg C"
"Central Delta","Winter",14.5,"temperature","Deg C"
"North Delta","Winter",11.6,"temperature","Deg C"
"North Delta","Winter",13.7,"temperature","Deg C"
"Sacramento River","Winter",13.9,"temperature","Deg C"
"North Delta","Winter",13.3,"temperature","Deg C"
"North Delta","Winter",12.8,"temperature","Deg C"
"Sacramento River","Winter",12.2,"temperature","Deg C"
"Central Delta","Winter",15.97,"temperature","Deg C"
"Central Delta","Winter",18.8,"temperature","Deg C"
"Central Delta","Winter",12.2,"temperature","Deg C"
"Central Delta","Winter",13.3,"temperature","Deg C"
"Central Delta","Winter",14.68,"temperature","Deg C"
"South Delta","Winter",24.9,"temperature","Deg C"
"Central Delta","Winter",16.9,"temperature","Deg C"
"Central Delta","Winter",22.4,"temperature","Deg C"
"Central Delta","Winter",23.7,"temperature","Deg C"
"Central Delta","Winter",18.1,"temperature","Deg C"
"Central Delta","Winter",19.2,"temperature","Deg C"
"Central Delta","Spring",16.5,"temperature","Deg C"
"Central Delta","Spring",15.7,"temperature","Deg C"
"Central Delta","Spring",20.8,"temperature","Deg C"
"Central Delta","Spring",17.6,"temperature","Deg C"
"Central Delta","Spring",17.1,"temperature","Deg C"
"Central Delta","Spring",21.8,"temperature","Deg C"
"Central Delta","Spring",14.8,"temperature","Deg C"
"Confluence","Spring",14.5,"temperature","Deg C"
"Central Delta","Spring",32.4,"temperature","Deg C"
"Central Delta","Spring",19.1,"temperature","Deg C"
"Central Delta","Spring",13.5,"temperature","Deg C"
"Central Delta","Spring",17.3,"temperature","Deg C"
"Central Delta","Spring",16.3,"temperature","Deg C"
"Sacramento River","Spring",19.9,"temperature","Deg C"
"North Delta","Spring",16.5,"temperature","Deg C"
"North Delta","Spring",17,"temperature","Deg C"
"Central Delta","Spring",16.998,"temperature","Deg C"
"Sacramento River","Spring",17.883,"temperature","Deg C"
"South Delta","Spring",12.6,"temperature","Deg C"
"Central Delta","Spring",15.945,"temperature","Deg C"
"Sacramento River","Spring",18.125,"temperature","Deg C"
"Confluence","Spring",18.4,"temperature","Deg C"
"Confluence","Spring",20.85,"temperature","Deg C"
"North Delta","Spring",15.1,"temperature","Deg C"
"Central Delta","Spring",20.2,"temperature","Deg C"
"Central Delta","Spring",17.4,"temperature","Deg C"
"Central Delta","Spring",16.7,"temperature","Deg C"
"Central Delta","Spring",16.5,"temperature","Deg C"
"Central Delta","Spring",23.1,"temperature","Deg C"
"South Delta","Spring",22.8,"temperature","Deg C"
"Central Delta","Spring",21.4,"temperature","Deg C"
"Central Delta","Spring",15.4,"temperature","Deg C"
"North Delta","Spring",17.7,"temperature","Deg C"
"North Delta","Spring",19.1,"temperature","Deg C"
"Central Delta","Spring",23.8,"temperature","Deg C"
"Confluence","Spring",18.44,"temperature","Deg C"
"Confluence","Spring",18.63,"temperature","Deg C"
"Sacramento River","Spring",21.3,"temperature","Deg C"
"North Delta","Spring",21.9,"temperature","Deg C"
"Sacramento River","Spring",19.3,"temperature","Deg C"
"North Delta","Spring",18.5,"temperature","Deg C"
"North Delta","Spring",16.7,"temperature","Deg C"
"Central Delta","Spring",22.9,"temperature","Deg C"
"Central Delta","Spring",16.9,"temperature","Deg C"
"Central Delta","Spring",20.8,"temperature","Deg C"
"Central Delta","Spring",21.6,"temperature","Deg C"
"Central Delta","Spring",18.8,"temperature","Deg C"
"Central Delta","Spring",20.5,"temperature","Deg C"
"Central Delta","Spring",21.1,"temperature","Deg C"
"Confluence","Spring",13.5,"temperature","Deg C"
"Central Delta","Spring",16.7,"temperature","Deg C"
"Central Delta","Spring",21.6,"temperature","Deg C"
"Central Delta","Spring",24.5,"temperature","Deg C"
"South Delta","Spring",24.1,"temperature","Deg C"
"Sacramento River","Spring",16.4,"temperature","Deg C"
"Sacramento River","Summer",22.1,"temperature","Deg C"
"Central Delta","Summer",20,"temperature","Deg C"
"Central Delta","Summer",25.8,"temperature","Deg C"
"Central Delta","Summer",24.2,"temperature","Deg C"
"Central Delta","Summer",26.1,"temperature","Deg C"
"Central Delta","Summer",30.2,"temperature","Deg C"
"Central Delta","Summer",26,"temperature","Deg C"
"Central Delta","Summer",23.6,"temperature","Deg C"
"North Delta","Summer",16.9,"temperature","Deg C"
"Central Delta","Summer",23.6,"temperature","Deg C"
"South Delta","Summer",24.9,"temperature","Deg C"
"Confluence","Summer",19.9,"temperature","Deg C"
"Central Delta","Summer",21,"temperature","Deg C"
"Confluence","Summer",25.5,"temperature","Deg C"
"Confluence","Summer",26.7,"temperature","Deg C"
"Sacramento River","Summer",24.47,"temperature","Deg C"
"Central Delta","Summer",26.1,"temperature","Deg C"
"Central Delta","Summer",24.3,"temperature","Deg C"
"Central Delta","Summer",23.77,"temperature","Deg C"
"Central Delta","Summer",24.3,"temperature","Deg C"
"Central Delta","Summer",22.83,"temperature","Deg C"
"South Delta","Summer",23,"temperature","Deg C"
"Central Delta","Summer",23.86,"temperature","Deg C"
"North Delta","Summer",22.6,"temperature","Deg C"
"Central Delta","Summer",34.85,"temperature","Deg C"
"Central Delta","Summer",30.35,"temperature","Deg C"
"North Delta","Summer",21.3,"temperature","Deg C"
"Central Delta","Summer",20.4,"temperature","Deg C"
"Central Delta","Summer",26.3,"temperature","Deg C"
"Central Delta","Summer",24.2,"temperature","Deg C"
"North Delta","Summer",25.2,"temperature","Deg C"
"Sacramento River","Summer",23.7,"temperature","Deg C"
"Central Delta","Summer",18.22,"temperature","Deg C"
"North Delta","Summer",27.43,"temperature","Deg C"
"Sacramento River","Summer",24.9,"temperature","Deg C"
"Central Delta","Summer",25.99,"temperature","Deg C"
"North Delta","Summer",26.1,"temperature","Deg C"
"North Delta","Summer",26.3,"temperature","Deg C"
"Central Delta","Summer",22.2,"temperature","Deg C"
"Central Delta","Summer",18.7,"temperature","Deg C"
"Central Delta","Summer",23.2,"temperature","Deg C"
"Central Delta","Summer",25.1,"temperature","Deg C"
"Central Delta","Summer",34.2,"temperature","Deg C"
"South Delta","Summer",21,"temperature","Deg C"
"Central Delta","Summer",21.9,"temperature","Deg C"
"Central Delta","Summer",18.9,"temperature","Deg C"
"North Delta","Summer",23.5,"temperature","Deg C"
"Central Delta","Summer",22.8,"temperature","Deg C"
"Central Delta","Summer",27.4,"temperature","Deg C"
"Central Delta","Summer",25.5,"temperature","Deg C"
"Central Delta","Summer",35.4,"temperature","Deg C"
"Sacramento River","Summer",24,"temperature","Deg C"
"Confluence","Fall",21.97,"temperature","Deg C"
"Confluence","Fall",22.34,"temperature","Deg C"
"Confluence","Fall",17.66,"temperature","Deg C"
"Sacramento River","Fall",18.1,"temperature","Deg C"
"North Delta","Fall",18.7,"temperature","Deg C"
"Central Delta","Fall",21.3,"temperature","Deg C"
"Central Delta","Fall",21.4,"temperature","Deg C"
"Central Delta","Fall",18.7,"temperature","Deg C"
"Central Delta","Fall",20.3,"temperature","Deg C"
"South Delta","Fall",26,"temperature","Deg C"
"Central Delta","Fall",24,"temperature","Deg C"
"Central Delta","Fall",21.2,"temperature","Deg C"
"Central Delta","Fall",24.9,"temperature","Deg C"
"North Delta","Fall",21.1,"temperature","Deg C"
"Central Delta","Fall",26.6,"temperature","Deg C"
"Central Delta","Fall",19.9,"temperature","Deg C"
"Central Delta","Fall",23.8,"temperature","Deg C"
"Central Delta","Fall",19.6,"temperature","Deg C"
"Central Delta","Fall",31.3,"temperature","Deg C"
"Central Delta","Fall",15.7,"temperature","Deg C"
"Sacramento River","Fall",20.87,"temperature","Deg C"
"North Delta","Fall",20.92,"temperature","Deg C"
"Central Delta","Fall",17.03,"temperature","Deg C"
"Central Delta","Fall",19.9,"temperature","Deg C"
"Central Delta","Fall",20.2,"temperature","Deg C"
"Central Delta","Fall",17.9,"temperature","Deg C"
"Central Delta","Fall",16.9,"temperature","Deg C"
"Central Delta","Fall",18.4,"temperature","Deg C"
"South Delta","Fall",17.2,"temperature","Deg C"
"Central Delta","Fall",21.41,"temperature","Deg C"
"Sacramento River","Fall",14.6,"temperature","Deg C"
"North Delta","Fall",20.73,"temperature","Deg C"
"Central Delta","Fall",13.75,"temperature","Deg C"
"Central Delta","Fall",10.94,"temperature","Deg C"
"Sacramento River","Fall",10.9,"temperature","Deg C"
"North Delta","Fall",14.65,"temperature","Deg C"
"Central Delta","Fall",13.1,"temperature","Deg C"
"Central Delta","Fall",13.3,"temperature","Deg C"
"Central Delta","Fall",13.5,"temperature","Deg C"
"South Delta","Fall",13,"temperature","Deg C"
"Central Delta","Fall",12.2,"temperature","Deg C"
"Confluence","Fall",13.69,"temperature","Deg C"
"Central Delta","Winter",17.2,"temperature","Deg C"
"Central Delta","Winter",10.9,"temperature","Deg C"
"Central Delta","Winter",16.6,"temperature","Deg C"
"Central Delta","Winter",11.8,"temperature","Deg C"
"Central Delta","Winter",13.8,"temperature","Deg C"
"Central Delta","Winter",12.4,"temperature","Deg C"
"South Delta","Winter",12.3,"temperature","Deg C"
"Central Delta","Winter",16.3,"temperature","Deg C"
"Sacramento River","Winter",7,"temperature","Deg C"
"North Delta","Winter",5.66,"temperature","Deg C"
"Central Delta","Winter",7.46,"temperature","Deg C"
"Central Delta","Winter",9.48,"temperature","Deg C"
"Sacramento River","Winter",8.28,"temperature","Deg C"
"Central Delta","Winter",9.3,"temperature","Deg C"
"Central Delta","Winter",9.5,"temperature","Deg C"
"Central Delta","Winter",10.7,"temperature","Deg C"
"Central Delta","Winter",10.7,"temperature","Deg C"
"Central Delta","Winter",12.2,"temperature","Deg C"
"South Delta","Winter",9.3,"temperature","Deg C"
"Central Delta","Winter",9.9,"temperature","Deg C"
"Central Delta","Winter",11.2,"temperature","Deg C"
"Central Delta","Winter",14.6,"temperature","Deg C"
"Central Delta","Winter",11.6,"temperature","Deg C"
"Central Delta","Winter",16.1,"temperature","Deg C"
"Central Delta","Winter",9.5,"temperature","Deg C"
"Sacramento River","Winter",11.5,"temperature","Deg C"
"Central Delta","Winter",12.6,"temperature","Deg C"
"Central Delta","Winter",12.1,"temperature","Deg C"
"North Delta","Winter",12.9,"temperature","Deg C"
"Confluence","Winter",9.61,"temperature","Deg C"
"Central Delta","Winter",15.5,"temperature","Deg C"
"Sacramento River","Winter",13.4,"temperature","Deg C"
"Central Delta","Winter",14.7,"temperature","Deg C"
"North Delta","Winter",17.8,"temperature","Deg C"
"Central Delta","Winter",16.6,"temperature","Deg C"
"Central Delta","Winter",12.6,"temperature","Deg C"
"Central Delta","Winter",14.1,"temperature","Deg C"
"Central Delta","Winter",14.2,"temperature","Deg C"
"Central Delta","Winter",13,"temperature","Deg C"
"Central Delta","Winter",14.2,"temperature","Deg C"
"Central Delta","Winter",13,"temperature","Deg C"
"Central Delta","Winter",13.2,"temperature","Deg C"
"Central Delta","Winter",17.9,"temperature","Deg C"
"Central Delta","Spring",13.6,"temperature","Deg C"
"Sacramento River","Spring",13,"temperature","Deg C"
"Central Delta","Spring",11.9,"temperature","Deg C"
"North Delta","Spring",12.1,"temperature","Deg C"
"Central Delta","Spring",12.7,"temperature","Deg C"
"Central Delta","Spring",14.2,"temperature","Deg C"
"Central Delta","Spring",13,"temperature","Deg C"
"Central Delta","Spring",17.7,"temperature","Deg C"
"Central Delta","Spring",13.1,"temperature","Deg C"
"Central Delta","Spring",13.6,"temperature","Deg C"
"Central Delta","Spring",13,"temperature","Deg C"
"Central Delta","Spring",12.1,"temperature","Deg C"
"Central Delta","Spring",12.1,"temperature","Deg C"
"South Delta","Spring",13.3,"temperature","Deg C"
"Central Delta","Spring",10.3,"temperature","Deg C"
"Central Delta","Spring",17.1,"temperature","Deg C"
"Sacramento River","Spring",16.8,"temperature","Deg C"
"Central Delta","Spring",19.2,"temperature","Deg C"
"North Delta","Spring",26.4,"temperature","Deg C"
"Central Delta","Spring",23.9,"temperature","Deg C"
"Central Delta","Spring",18.7,"temperature","Deg C"
"Central Delta","Spring",23,"temperature","Deg C"
"Central Delta","Spring",28.1,"temperature","Deg C"
"Central Delta","Spring",20.9,"temperature","Deg C"
"Central Delta","Spring",19.3,"temperature","Deg C"
"Central Delta","Spring",16.95,"temperature","Deg C"
"Central Delta","Spring",19.4,"temperature","Deg C"
"Central Delta","Spring",22.9,"temperature","Deg C"
"Central Delta","Spring",25.8,"temperature","Deg C"
"South Delta","Spring",26.4,"temperature","Deg C"
"Central Delta","Spring",22.9,"temperature","Deg C"
"Sacramento River","Spring",20.2,"temperature","Deg C"
"North Delta","Spring",20.7,"temperature","Deg C"
"Confluence","Spring",18.9,"temperature","Deg C"
"Central Delta","Spring",18.7,"temperature","Deg C"
"Central Delta","Spring",19.5,"temperature","Deg C"
"Central Delta","Spring",28.7,"temperature","Deg C"
"Central Delta","Spring",23.9,"temperature","Deg C"
"Central Delta","Spring",26.4,"temperature","Deg C"
"Central Delta","Spring",30.5,"temperature","Deg C"
"Central Delta","Spring",20.9,"temperature","Deg C"
"Central Delta","Spring",22.3,"temperature","Deg C"
"South Delta","Spring",18.9,"temperature","Deg C"
"Central Delta","Spring",21.7,"temperature","Deg C"
"Central Delta","Spring",18.5,"temperature","Deg C"
"Central Delta","Spring",24.4,"temperature","Deg C"
"Central Delta","Spring",24.9,"temperature","Deg C"
"Central Delta","Spring",27.9,"temperature","Deg C"
"Central Delta","Spring",21.2,"temperature","Deg C"
"Central Delta","Spring",18.95,"temperature","Deg C"
"Sacramento River","Spring",19.15,"temperature","Deg C"
"Central Delta","Spring",21,"temperature","Deg C"
"North Delta","Spring",24.43,"temperature","Deg C"
"Confluence","Spring",19.39,"temperature","Deg C"
"Central Delta","Summer",18.21,"temperature","Deg C"
"Sacramento River","Summer",14.68,"temperature","Deg C"
"Central Delta","Summer",23.65,"temperature","Deg C"
"North Delta","Summer",18.96,"temperature","Deg C"
"Sacramento River","Summer",25.6,"temperature","Deg C"
"Central Delta","Summer",27.7,"temperature","Deg C"
"Central Delta","Summer",33.6,"temperature","Deg C"
"Central Delta","Summer",25.5,"temperature","Deg C"
"Central Delta","Summer",28.4,"temperature","Deg C"
"Central Delta","Summer",27.3,"temperature","Deg C"
"Central Delta","Summer",18.3,"temperature","Deg C"
"Central Delta","Summer",25.8,"temperature","Deg C"
"Central Delta","Summer",19.1,"temperature","Deg C"
"Central Delta","Summer",23.8,"temperature","Deg C"
"Central Delta","Summer",20.2,"temperature","Deg C"
"Central Delta","Summer",30,"temperature","Deg C"
"South Delta","Summer",26.1,"temperature","Deg C"
"Central Delta","Summer",20.6,"temperature","Deg C"
"Central Delta","Summer",21.5,"temperature","Deg C"
"Central Delta","Summer",28.7,"temperature","Deg C"
"Central Delta","Summer",23.57,"temperature","Deg C"
"Central Delta","Summer",20.12,"temperature","Deg C"
"Sacramento River","Summer",21.23,"temperature","Deg C"
"North Delta","Summer",25.57,"temperature","Deg C"
"Confluence","Summer",19.45,"temperature","Deg C"
"Central Delta","Summer",21.4,"temperature","Deg C"
"Central Delta","Summer",29.5,"temperature","Deg C"
"Central Delta","Summer",26.9,"temperature","Deg C"
"Central Delta","Summer",30.6,"temperature","Deg C"
"Central Delta","Summer",25.3,"temperature","Deg C"
"Central Delta","Summer",20.5,"temperature","Deg C"
"Central Delta","Summer",22,"temperature","Deg C"
"Central Delta","Summer",27,"temperature","Deg C"
"South Delta","Summer",21.5,"temperature","Deg C"
"Central Delta","Summer",24.3,"temperature","Deg C"
"Central Delta","Summer",20,"temperature","Deg C"
"Central Delta","Summer",21.4,"temperature","Deg C"
"Central Delta","Summer",26.9,"temperature","Deg C"
"Central Delta","Summer",29,"temperature","Deg C"
"Confluence","Summer",26.16,"temperature","Deg C"
"Central Delta","Summer",26.47,"temperature","Deg C"
"North Delta","Summer",19.2,"temperature","Deg C"
"Central Delta","Summer",17.9,"temperature","Deg C"
"Central Delta","Summer",25.2,"temperature","Deg C"
"Central Delta","Summer",23.7,"temperature","Deg C"
"Central Delta","Summer",18.3,"temperature","Deg C"
"Central Delta","Summer",22.4,"temperature","Deg C"
"Central Delta","Summer",20.9,"temperature","Deg C"
"South Delta","Summer",26.2,"temperature","Deg C"
"Central Delta","Summer",20.6,"temperature","Deg C"
"Central Delta","Summer",22.7,"temperature","Deg C"
"Central Delta","Summer",25.8,"temperature","Deg C"
"Central Delta","Summer",24.1,"temperature","Deg C"
"Central Delta","Summer",25.2,"temperature","Deg C"
"Central Delta","Summer",22,"temperature","Deg C"
"Central Delta","Summer",21.9,"temperature","Deg C"
"Central Delta","Summer",20.5,"temperature","Deg C"
"Central Delta","Summer",24.27,"temperature","Deg C"
"Sacramento River","Summer",16,"temperature","Deg C"
"North Delta","Summer",21.89,"temperature","Deg C"
"Central Delta","Summer",20.53,"temperature","Deg C"
"Central Delta","Fall",21.99,"temperature","Deg C"
"North Delta","Fall",21.26,"temperature","Deg C"
"Sacramento River","Fall",15.3,"temperature","Deg C"
"Central Delta","Fall",19.74,"temperature","Deg C"
"Central Delta","Fall",19,"temperature","Deg C"
"Central Delta","Fall",22.2,"temperature","Deg C"
"Central Delta","Fall",32,"temperature","Deg C"
"South Delta","Fall",28.7,"temperature","Deg C"
"Central Delta","Fall",21.1,"temperature","Deg C"
"Central Delta","Fall",23.6,"temperature","Deg C"
"Central Delta","Fall",21.3,"temperature","Deg C"
"Central Delta","Fall",24.7,"temperature","Deg C"
"Central Delta","Fall",31.9,"temperature","Deg C"
"Central Delta","Fall",22.8,"temperature","Deg C"
"Central Delta","Fall",31.3,"temperature","Deg C"
"Sacramento River","Fall",19.7,"temperature","Deg C"
"Central Delta","Fall",25.4,"temperature","Deg C"
